Rank,Category,Final_Score,Similarity_Score,Skill_Match_Score,Missing_Skills
1,AUTOMOBILE,40.32450267859102,46.17786096941574,26.666666666666668,"['mysql', 'aws', 'linux', 'pandas', 'git', 'python', 'data pipeline', 'data pipelines', 'postgresql', 'apache spark', 'spark']"
2,INFORMATION-TECHNOLOGY,31.92489949380854,25.606999276869345,46.666666666666664,"['mysql', 'pandas', 'git', 'data pipeline', 'data pipelines', 'postgresql', 'apache spark', 'spark']"
3,DIGITAL-MEDIA,26.40863913143906,23.440913044912943,33.33333333333333,"['aws', 'data warehousing', 'data warehouse', 'linux', 'pandas', 'data pipeline', 'data pipelines', 'postgresql', 'apache spark', 'spark']"
4,AUTOMOBILE,26.33346180330448,20.476374004720686,40.0,"['aws', 'data warehousing', 'etl', 'data warehouse', 'linux', 'git', 'data pipeline', 'postgresql', 'data pipelines']"
5,ENGINEERING,25.782293747409312,22.54613392487045,33.33333333333333,"['mysql', 'aws', 'etl', 'linux', 'git', 'data pipeline', 'data pipelines', 'postgresql', 'apache spark', 'spark']"
6,AGRICULTURE,25.013664230032838,21.448091757189776,33.33333333333333,"['mysql', 'data warehousing', 'etl', 'data warehouse', 'linux', 'git', 'data pipelines', 'postgresql', 'apache spark', 'spark']"
7,CONSULTANT,24.54284188660963,23.632631266585186,26.666666666666668,"['aws', 'data warehousing', 'etl', 'linux', 'pandas', 'git', 'data pipeline', 'data pipelines', 'postgresql', 'apache spark', 'spark']"
8,DESIGNER,21.426168536424058,19.180240766320082,26.666666666666668,"['aws', 'data warehousing', 'etl', 'data warehouse', 'pandas', 'git', 'data pipeline', 'data pipelines', 'postgresql', 'apache spark', 'spark']"
9,CONSULTANT,21.269820807382242,21.814029724831776,20.0,"['mysql', 'aws', 'data warehousing', 'linux', 'pandas', 'git', 'python', 'data pipeline', 'data pipelines', 'postgresql', 'apache spark', 'spark']"
10,INFORMATION-TECHNOLOGY,20.912394858894025,21.303421226991464,20.0,"['mysql', 'data warehousing', 'etl', 'data warehouse', 'pandas', 'sql', 'git', 'data pipeline', 'data pipelines', 'postgresql', 'apache spark', 'spark']"
11,INFORMATION-TECHNOLOGY,20.42586956398227,17.75124223426039,26.666666666666668,"['data warehousing', 'etl', 'data warehouse', 'pandas', 'git', 'python', 'data pipeline', 'data pipelines', 'postgresql', 'apache spark', 'spark']"
12,AVIATION,19.52276078254607,10.746801117922956,40.0,"['aws', 'data warehousing', 'etl', 'data warehouse', 'pandas', 'data pipeline', 'data pipelines', 'apache spark', 'spark']"
13,SALES,18.976535878807084,18.537908398295837,20.0,"['aws', 'etl', 'data warehouse', 'linux', 'pandas', 'git', 'python', 'data pipeline', 'data pipelines', 'postgresql', 'apache spark', 'spark']"
14,INFORMATION-TECHNOLOGY,18.600145016377688,9.428778594825268,40.0,"['data warehousing', 'etl', 'data warehouse', 'pandas', 'python', 'data pipeline', 'data pipelines', 'apache spark', 'spark']"
15,CONSULTANT,18.598021151554754,12.282887359363938,33.33333333333333,"['aws', 'data warehousing', 'etl', 'pandas', 'python', 'data pipeline', 'data pipelines', 'postgresql', 'apache spark', 'spark']"
16,INFORMATION-TECHNOLOGY,17.056397669608113,12.93771095658302,26.666666666666668,"['aws', 'data warehousing', 'etl', 'pandas', 'git', 'python', 'data pipeline', 'data pipelines', 'postgresql', 'apache spark', 'spark']"
17,AGRICULTURE,16.839450096081002,15.484928708687146,20.0,"['mysql', 'aws', 'data warehousing', 'etl', 'data warehouse', 'linux', 'git', 'data pipeline', 'data pipelines', 'postgresql', 'apache spark', 'spark']"
18,ENGINEERING,16.652137677453965,18.07448239636281,13.333333333333334,"['mysql', 'aws', 'data warehousing', 'data warehouse', 'linux', 'pandas', 'python', 'git', 'data pipeline', 'spark', 'postgresql', 'apache spark', 'data pipelines']"
19,ENGINEERING,16.391600291019103,9.130857558598722,33.33333333333333,"['mysql', 'aws', 'data warehousing', 'etl', 'data warehouse', 'pandas', 'data pipeline', 'data pipelines', 'apache spark', 'spark']"
20,BANKING,16.135451511672013,8.764930730960021,33.33333333333333,"['data warehousing', 'etl', 'data warehouse', 'pandas', 'python', 'data pipeline', 'data pipelines', 'postgresql', 'apache spark', 'spark']"
21,ENGINEERING,15.349929616048627,7.642756594355185,33.33333333333333,"['mysql', 'data warehousing', 'data warehouse', 'linux', 'pandas', 'data pipeline', 'data pipelines', 'postgresql', 'apache spark', 'spark']"
22,CONSULTANT,14.865608704985894,12.66515529283699,20.0,"['aws', 'data warehousing', 'etl', 'data warehouse', 'pandas', 'git', 'python', 'data pipeline', 'data pipelines', 'postgresql', 'apache spark', 'spark']"
23,ADVOCATE,14.725385742835526,12.464836775479323,20.0,"['mysql', 'data warehousing', 'etl', 'data warehouse', 'pandas', 'git', 'python', 'data pipeline', 'data pipelines', 'postgresql', 'apache spark', 'spark']"
24,BANKING,14.567123770979238,12.238748244256056,20.0,"['mysql', 'aws', 'etl', 'linux', 'pandas', 'git', 'python', 'data pipeline', 'data pipelines', 'postgresql', 'apache spark', 'spark']"
25,CONSULTANT,14.52149690658089,9.316424152258415,26.666666666666668,"['data warehousing', 'etl', 'data warehouse', 'pandas', 'git', 'python', 'data pipeline', 'data pipelines', 'postgresql', 'apache spark', 'spark']"
26,INFORMATION-TECHNOLOGY,14.11685731222537,11.595510446036245,20.0,"['aws', 'data warehousing', 'etl', 'data warehouse', 'pandas', 'git', 'python', 'data pipeline', 'data pipelines', 'postgresql', 'apache spark', 'spark']"
27,DIGITAL-MEDIA,14.099538304408359,8.713626149154798,26.666666666666668,"['aws', 'data warehousing', 'etl', 'linux', 'pandas', 'python', 'data pipeline', 'data pipelines', 'postgresql', 'apache spark', 'spark']"
